query, email_result, email, issue
p minus maurer at tonline punkt d e, p-maurer@t-online.de, t-maurer@t-online.de, voice
franco t sechzig at mercedes punkt com, francot60@mercedes.com, frankkurtt60@mercedes.com, voice
j rücke at mercedes punkt com, jrücke@mercedes.com, jtrupke@mercedes.com, voice
friederike burgdorf at test d e, friederikeburgdorf@test.de, frederikeburdorf@test.de, voice
horst dieter punkt s at hotmail dot com, dieter.s@hotmail.com, horst-dieter.s@hotmail.com, voice
a strich jansen at test punkt d e, a-jansen@test.de, a-jensen@test.de, voice
b punkt tragischer at hotmail dot com, b.tragischer@hotmail.com, b.trageser@hotmail.com, voice
meine email ist james william punkt meister at mercedes dot com, william.meister@mercedes.com, jameswilliam.meister@mercedes.com, voice
mark oliver punkt v at bla d e, oliver.v@bla.de, markoliver.v@bla.de, voice
b strich stolze at gmail punkt com, b-stolze@gmail.com, b-stölzl@gmail.com, voice
tanja punkt mey at bla punkt d e, tanja.mey@bla.de, tanja.maier@bla.de, voice
ralf friedrich wilhelm punkt benzin at hotmail dot com, wilhelm.benzin@hotmail.com, ralffriedrichwilhelm.bengtson@hotmail.com, voice
viktor w punkt barthelmäs at test d e, viktorw.barthelmäs@test.de, victorw..barthelmäs@test.de, voice
thorsten schalk at gmail d e, thorstenschalk@gmailde, thorstenschaake@gmail.de, voice
evangelia punkt at tonline punkt com, evangelia.@tonline.com, evangelia.s@t-online.com, voice
ladislaus el at gmail punkt com, ladislausel@gmail.com, wladislausl@gmail.com, voice
e minus shop at gmx punkt com, e-shop@gmx.com, i-hopp@gmx.com, voice
h maturity at mail punkt d e, hmaturity@mail.de, hmouzouridi@mail.de, voice
die adresse lautet k punkt paul at gmx punkt d e, k.paul@gmx.de, k.pröhl@gmx.de, voice
dirk minus tügel at gmail dot com, dirk-tügel@gmail.com, dirk-tögel@gmail.com, voice
k punkt at gmail d e, k.@gmailde, k.h@gmail.de, voice
b punkt at gmx punkt com, b.@gmx.com, d.orth@gmx.com, voice
heidi punkt metzger at gmail dot com, heidi.metzger@gmail.com, heidi.mezger@gmail.com, voice
dominik m punkt p viro at mercedes punkt d e, m.pviro@mercedes.de, dominikm..prawiro@mercedes.de, voice
k punkt rahmen at gmail d e, k.rahmen@gmailde, k.trame@gmail.de, voice
heidi punkt germann at mercedes d e, heidi.germann@mercedes.de, heidi.gehrmann@mercedes.de, voice
penis nick at tonline punkt d e, nick@t-online.de, tniznik@t-online.de, voice
ursula minus at gmx dot com, ursula-@gmx.com, ursula-s@gmx.com, voice
angelo tipidorf k at tonline d e, angelotipidorfk@t-online.de, angelociepielowska@t-online.de, voice
mike hessam punkt walbeck at test punkt com, hessam.walbeck@test.com, mikehessam.walbeck@test.com, voice
u punkt wiedemann elf at gmx punkt com, u.wiedemann11@gmx.com, u.widenmann11@gmx.com, voice
el punkt b at gmail punkt d e, el.b@gmail.de, l.b@gmail.de, voice
erol punkt dora at tonline dot com, erol.dora@tonline.com, erol.surra@t-online.com, voice
eberesche vier at bla punkt com, eberesche4@bla.com, eberisha4@bla.com, voice
meine email ist christian franz punkt kiefer at mercedes dot com, franz.kiefer@mercedes.com, christianfranz.kiefer@mercedes.com, voice
a minus eidogan at bla punkt d e, a-eidogan@bla.de, a-aydogan@bla.de, voice
das ist h strich stratmann at bla d e, h-stratmann@bla.de, h-strathmann@bla.de, voice
h punkt at test d e, h.@test.de, h.s@test.de, voice
ernst v minus jürgens at gmx dot com, ernstv-jürgens@gmx.com, ernstv.-jürgens@gmx.com, voice
die adresse lautet lilian punkt speck at hotmail dot com, lilian.speck@hotmail.com, lilian.spöck@hotmail.com, voice
norbert punkt bettina at bla punkt com, norbert.bettina@bla.com, norbert.bättjer@bla.com, voice
mario strich baake at mail dot com, mario-baake@mail.com, mario-bagceci@mail.com, voice
simon andreas maximilian strich nederkorn at bla d e, maximilian-nederkorn@bla.de, simonandreasmaximillian-nederkorn@bla.de, voice
franz punkt fast at gmx d e, franz.fast@gmx.de, franz.vaerst@gmx.de, voice
g strich benzin at test punkt d e, g-benzin@test.de, g-bengtson@test.de, voice
die adresse lautet zwanzig sigrid oh at hotmail d e, sigridoh@hotmail.de, swantjesegreto@hotmail.de, voice
p h k at hotmail d e, phk@hotmail.de, phecker@hotmail.de, voice
annika punkt m at hotmail d e, annika.m@hotmail.de, anika.m@hotmail.de, voice
m schüler at gmail punkt com, mschüler@gmail.com, mschüle@gmail.com, voice
hans henning punkt ayten at gmail dot com, henning.ayten@gmail.com, hans-henning.ayten@gmail.com, voice
s wirsching at tonline punkt com, swirsching@tonline.com, swirsching@t-online.com, voice
micha h drei at gmail punkt d e, michah3@gmail.de, mischah3@gmail.de, voice
meine email ist markus punkt hanke at gmx punkt com, markus.hanke@gmx.com, marcus.hanke@gmx.com, voice
janerik strich gonsior morell at bla punkt com, gonsiormorell@bla.com, jan-erik-gonsior-morell@bla.com, voice
das ist h sowa at gmx d e, hsowa@gmx.de, hsurra@gmx.de, voice
paul hellgefrisch at hotmail d e, paulhellgefrisch@hotmail.de, paulhellge-frisch@hotmail.de, voice
katharina strich m at gmail d e, katharina-m@gmailde, katharina-m@gmail.de, voice
sabine punkt ehrung zwölf at gmx dot com, sabine.ehrung12@gmx.com, sabine.eronc12@gmx.com, voice
dirk minus strich at bla d e, dirk--@bla.de, dirk-sprick@bla.de, voice
die adresse lautet gas m punkt d franz at bla punkt d e, m.dfranz@bla.de, ghassem.düphans@bla.de, voice
meine email ist es punkt huber at hotmail d e, es.huber@hotmail.de, s.huber@hotmail.de, voice
meinolf punkt strich at gmail dot com, meinolf.-@gmail.com, meinolf.sprick@gmail.com, voice
alexander wolfgang minus lindner at mercedes punkt d e, wolfgang-lindner@mercedes.de, alexanderwolfgang-lindner@mercedes.de, voice
das ist u punkt birke at hotmail punkt d e, u.birke@hotmail.de, u.birkle@hotmail.de, voice
die adresse lautet j punkt el at mail punkt d e, j.el@mail.de, j.l@mail.de, voice
c punkt schmitt fünfzehn at tonline punkt d e, c.schmitt15@t-online.de, t.schmitt15@t-online.de, voice
das ist der punkt im at test punkt com, der.im@test.com, r.timm@test.com, voice
klaudia punkt kaiserhof at tonline punkt com, klaudia.kaiserhof@tonline.com, klaudia.geisenhof@t-online.com, voice
christiana punkt blum at gmx dot com, christiana.blum@gmx.com, christiane.blum@gmx.com, voice
i punkt burgdorf at hotmail dot com, i.burgdorf@hotmail.com, i.burdorf@hotmail.com, voice
die adresse lautet m minus hornig at hotmail punkt d e, m-hornig@hotmail.de, m-hornung@hotmail.de, voice
f punkt boris at mail punkt com, f.boris@mail.com, f.boerries@mail.com, voice
irena at mail punkt d e, irena@mail.de, erenard@mail.de, voice
charalabos punkt s o at test d e, charalabos.so@test.de, haralabos.szyszlo@test.de, voice
maria punkt wöhner at mercedes punkt d e, maria.wöhner@mercedes.de, maria.wohner@mercedes.de, voice
talina punkt an at tonline d e, talina.an@t-online.de, talina.n@t-online.de, voice
meine email ist an punkt b at gmail punkt d e, an.b@gmail.de, ann.b@gmail.de, voice
h punkt ganz at test d e, h.ganz@test.de, h.genz@test.de, voice
meine email ist amine punkt salzmann at mercedes punkt com, amine.salzmann@mercedes.com, nermine.salzmann@mercedes.com, voice
siegfried minus f team of at mercedes punkt com, siegfried-fteamof@mercedes.com, siegfried-eftimov@mercedes.com, voice
500
['ferdinand punkt reicht at bla punkt com', 'pedro punkt ebner at mail dot com', 'nele punkt gürtler at mail dot com', 'meine email ist g punkt b at gmail d e', 'die adresse lautet mike hessam punkt s at tonline punkt com', 'andre nico punkt fink at gmx dot com', 'meine email ist danny punkt lange at gmx d e', 'j punkt schmitt at mail punkt com', 'die adresse lautet m strich abdallah at test d e', 'bernhard punkt markus at tonline punkt d e', 's punkt bartel vierzehn at tonline punkt com', 'h punkt o at tonline dot com', 'in frische at gmx dot com', 'b punkt blum at test d e', 's liebsch at tonline dot com', 'hardy punkt gering at hotmail punkt com', 'z baake at gmx d e', 'die adresse lautet glas punkt k at hotmail punkt d e', 'hans georg punkt z at mercedes dot com', 'linken strich imris fünfzig at gmail d e', 'k punkt baake at gmail d e', 'stefanie punkt retter vier at bla d e', 'ines punkt chantal at hotmail d e', 'mark oliver punkt steyer at mail punkt com', 'silvia paula punkt s at gmx punkt d e', 'l minus motorola at mercedes punkt d e', 'jessica strich hase at mercedes punkt com', 'die punkt p at mercedes dot com', 'p minus maurer at tonline punkt d e', 'franco t sechzig at mercedes punkt com', 'j rücke at mercedes punkt com', 'friederike burgdorf at test d e', 'horst dieter punkt s at hotmail dot com', 'a strich jansen at test punkt d e', 'b punkt tragischer at hotmail dot com', 'meine email ist james william punkt meister at mercedes dot com', 'mark oliver punkt v at bla d e', 'b strich stolze at gmail punkt com', 'tanja punkt mey at bla punkt d e', 'ralf friedrich wilhelm punkt benzin at hotmail dot com', 'viktor w punkt barthelmäs at test d e', 'thorsten schalk at gmail d e', 'evangelia punkt at tonline punkt com', 'ladislaus el at gmail punkt com', 'e minus shop at gmx punkt com', 'h maturity at mail punkt d e', 'die adresse lautet k punkt paul at gmx punkt d e', 'dirk minus tügel at gmail dot com', 'k punkt at gmail d e', 'b punkt at gmx punkt com', 'heidi punkt metzger at gmail dot com', 'dominik m punkt p viro at mercedes punkt d e', 'k punkt rahmen at gmail d e', 'heidi punkt germann at mercedes d e', 'penis nick at tonline punkt d e', 'ursula minus at gmx dot com', 'angelo tipidorf k at tonline d e', 'mike hessam punkt walbeck at test punkt com', 'u punkt wiedemann elf at gmx punkt com', 'el punkt b at gmail punkt d e', 'erol punkt dora at tonline dot com', 'eberesche vier at bla punkt com', 'meine email ist christian franz punkt kiefer at mercedes dot com', 'a minus eidogan at bla punkt d e', 'das ist h strich stratmann at bla d e', 'h punkt at test d e', 'ernst v minus jürgens at gmx dot com', 'die adresse lautet lilian punkt speck at hotmail dot com', 'norbert punkt bettina at bla punkt com', 'mario strich baake at mail dot com', 'simon andreas maximilian strich nederkorn at bla d e', 'franz punkt fast at gmx d e', 'g strich benzin at test punkt d e', 'die adresse lautet zwanzig sigrid oh at hotmail d e', 'p h k at hotmail d e', 'annika punkt m at hotmail d e', 'm schüler at gmail punkt com', 'hans henning punkt ayten at gmail dot com', 's wirsching at tonline punkt com', 'micha h drei at gmail punkt d e', 'meine email ist markus punkt hanke at gmx punkt com', 'janerik strich gonsior morell at bla punkt com', 'das ist h sowa at gmx d e', 'paul hellgefrisch at hotmail d e', 'katharina strich m at gmail d e', 'sabine punkt ehrung zwölf at gmx dot com', 'dirk minus strich at bla d e', 'die adresse lautet gas m punkt d franz at bla punkt d e', 'meine email ist es punkt huber at hotmail d e', 'meinolf punkt strich at gmail dot com', 'alexander wolfgang minus lindner at mercedes punkt d e', 'das ist u punkt birke at hotmail punkt d e', 'die adresse lautet j punkt el at mail punkt d e', 'c punkt schmitt fünfzehn at tonline punkt d e', 'das ist der punkt im at test punkt com', 'klaudia punkt kaiserhof at tonline punkt com', 'christiana punkt blum at gmx dot com', 'i punkt burgdorf at hotmail dot com', 'die adresse lautet m minus hornig at hotmail punkt d e', 'f punkt boris at mail punkt com', 'irena at mail punkt d e', 'charalabos punkt s o at test d e', 'maria punkt wöhner at mercedes punkt d e', 'talina punkt an at tonline d e', 'meine email ist an punkt b at gmail punkt d e', 'h punkt ganz at test d e', 'meine email ist amine punkt salzmann at mercedes punkt com', 'siegfried minus f team of at mercedes punkt com']
[INFO] DONE -> 78.40%. 
	no. of the error: 108 
	no of tests: 500
